published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
3/20/2011,442,446,446,446,0,200,89200,0
3/24/2011,460,462,460,462,0,1050,483600,0
3/25/2011,462,465,460,460,0,2360,1088780,0
3/27/2011,460,458,454,458,0,1740,795740,0
3/28/2011,458,458,450,450,0,1350,609940,0
3/29/2011,450,445,440,440,0,1400,616800,0
3/30/2011,440,450,436,450,0,2460,1097260,0
3/31/2011,450,455,455,455,0,150,68250,0
4/4/2011,455,455,450,455,0,1110,500600,0
4/5/2011,455,460,456,460,0,1400,642900,0
4/6/2011,460,460,460,460,0,530,243800,0
4/7/2011,460,465,456,460,0,3430,1578600,0
4/10/2011,460,461,455,461,0,10520,4834740,0
4/11/2011,461,460,452,459,0,4420,2007830,0
4/13/2011,459,481,459,474,0,3010,1418900,0
4/20/2011,474,466,466,466,0,10,4660,0
4/21/2011,466,460,460,460,0,10,4600,0
4/27/2011,460,451,423,424,0,470,204950,0
4/28/2011,424,427,419,420,0,1190,500770,0
5/2/2011,420,415,407,414,0,2150,877950,0
5/3/2011,414,406,396,399,0,1530,611440,0
5/4/2011,399,406,406,406,0,100,40600,0
5/5/2011,406,405,402,402,0,810,327000,0
5/8/2011,402,410,406,406,0,400,163200,0
5/10/2011,406,406,406,406,0,300,121800,0
5/11/2011,406,406,400,406,0,830,333610,0
5/12/2011,406,408,406,408,0,1090,442720,0
5/15/2011,408,406,406,406,0,200,81200,0
5/16/2011,406,407,405,405,0,600,243500,0
5/18/2011,405,410,406,406,0,310,126660,0
5/19/2011,406,406,404,404,0,400,162100,0
5/22/2011,404,405,403,403,0,400,161600,0
5/23/2011,403,403,400,403,0,730,292640,0
5/24/2011,403,400,399,399,0,370,147700,0
5/25/2011,399,402,399,399,0,450,179850,0
5/26/2011,399,414,398,414,0,1520,608100,0
5/30/2011,414,406,398,402,0,830,332950,0
5/31/2011,402,399,394,395,0,2700,1069800,0
6/1/2011,395,401,399,399,0,500,199700,0
6/2/2011,399,399,398,399,0,280,111550,0
6/5/2011,399,395,390,390,0,900,353100,0
6/6/2011,390,390,385,385,0,550,213750,0
6/7/2011,385,389,380,380,0,1700,655700,0
6/8/2011,380,381,370,370,0,3970,1499080,0
6/9/2011,370,377,365,377,0,980,362490,0
6/12/2011,377,381,352,366,0,10110,3679160,0
6/13/2011,366,377,366,377,0,950,350950,0
6/14/2011,377,380,377,378,0,510,192880,0
6/15/2011,378,385,375,376,0,3130,1180650,0
6/16/2011,376,392,376,392,0,1450,552000,0
6/19/2011,392,417,399,417,0,1200,491500,0
6/20/2011,392,417,399,417,0,1200,491500,0
6/21/2011,415,428,415,420,0,4600,1926100,0
6/23/2011,420,446,423,446,0,6060,2624350,0
6/26/2011,446,455,402,402,0,4360,1914710,0
6/27/2011,402,395,381,381,0,2250,866850,0
6/29/2011,381,385,370,385,0,2350,880950,0
6/30/2011,385,414,385,414,0,1120,438640,0
7/3/2011,414,414,391,400,0,1280,511240,0
7/4/2011,400,405,398,405,0,400,159900,0
7/5/2011,405,421,412,421,0,1690,701160,0
7/6/2011,421,421,413,420,0,550,229750,0
7/7/2011,420,420,400,405,0,500,204200,0
7/10/2011,405,413,410,413,0,640,264020,0
7/11/2011,413,407,400,400,0,610,244770,0
7/12/2011,400,416,408,415,0,360,148180,0
7/13/2011,415,425,407,413,0,2210,918350,0
7/14/2011,413,419,408,419,0,2820,1162700,0
7/17/2011,419,435,427,435,0,310,134050,0
7/18/2011,435,451,417,425,0,1660,719700,0
7/19/2011,425,425,425,425,0,1710,726750,0
7/20/2011,425,439,420,439,0,2660,1143940,0
7/21/2011,439,435,425,427,0,1740,744770,0
7/24/2011,427,419,414,415,0,1180,489420,0
7/25/2011,415,415,415,415,0,280,116200,0
7/26/2011,415,419,400,415,0,1810,734740,0
7/27/2011,415,420,405,420,0,5040,2063380,0
7/28/2011,420,421,413,421,0,210,87310,0
7/31/2011,421,417,415,417,0,950,394500,0
8/1/2011,417,415,415,415,0,50,20750,0
8/2/2011,415,416,415,415,0,200,83100,0
8/3/2011,415,416,411,414,0,1260,519240,0
8/4/2011,414,424,412,424,0,3160,1306480,0
8/7/2011,424,416,408,408,0,500,206400,0
8/8/2011,408,414,400,414,0,1690,678800,0
8/9/2011,414,409,405,405,0,650,265050,0
8/10/2011,405,413,410,410,0,850,349700,0
8/11/2011,410,410,408,410,0,400,163600,0
8/15/2011,410,410,400,410,0,1870,755470,0
8/16/2011,410,415,410,415,0,420,173500,0
8/17/2011,415,415,408,410,0,2130,874050,0
8/18/2011,410,415,408,408,0,460,188980,0
8/22/2011,408,412,408,409,0,630,257670,0
8/23/2011,409,410,410,410,0,20,8200,0
8/24/2011,410,412,405,412,0,765,312025,0
8/25/2011,412,418,410,410,0,570,235360,0
8/28/2011,410,415,405,405,0,645,264735,0
8/29/2011,405,413,401,413,0,940,383480,0
8/30/2011,413,418,405,410,0,1580,645140,0
9/1/2011,410,420,415,420,0,500,209300,0
9/4/2011,420,426,411,411,0,2480,1026930,0
9/5/2011,411,416,410,416,0,1190,492750,0
9/6/2011,416,421,410,411,0,1060,437510,0
9/7/2011,411,415,408,411,0,2055,843080,0
9/8/2011,411,411,403,411,0,1185,482855,0
9/12/2011,411,411,405,409,0,1350,548550,0
9/13/2011,409,407,405,407,0,1930,782250,0
9/14/2011,407,405,400,405,0,1330,535390,0
9/15/2011,405,405,401,405,0,1050,422650,0
9/18/2011,405,405,402,402,0,1100,443900,0
9/19/2011,402,402,398,400,0,2280,912100,0
9/20/2011,400,402,400,402,0,2550,1020100,0
9/21/2011,402,410,400,410,0,500,202900,0
9/22/2011,410,416,404,404,0,1200,491100,0
9/25/2011,404,415,410,415,0,450,185400,0
9/26/2011,415,420,416,419,0,350,146100,0
9/27/2011,419,419,410,415,0,840,346000,0
9/29/2011,415,417,415,415,0,560,232645,0
10/2/2011,415,407,407,407,0,5000,2035000,0
10/10/2011,407,414,411,414,0,300,123650,0
10/12/2011,414,416,414,416,0,1600,664000,0
10/13/2011,416,417,411,411,0,2100,867300,0
10/16/2011,411,413,409,411,0,990,406390,0
10/17/2011,411,414,409,414,0,1330,545020,0
10/20/2011,414,415,412,413,0,1635,676120,0
10/23/2011,413,418,410,410,0,1490,613320,0
